# Generated from Rime Essay. Do not edit manually.
# context<TAB>completion<TAB>weight...
一封家	書	29
一封情	書	96
一將	難求	411
一將功	成萬骨枯	470
一將功成	萬骨枯	470
一將功成萬	骨枯	470
一將功成萬骨	枯	470
一將難	求	411
一專	多能	498
一專多	能	498
一尊	尊	12
一對	一	4056	多	608	對	608	兒	545	一鬥牛	283	夫妻	259	夫婦	114	男女	101	矛盾	86	戀人	81
一對一	鬥牛	283	對	40	關係	12
一對一關	係	12
一對一鬥	牛	283
一對多	關係	15
一對多關	係	15
一對夫	妻	259	婦	114
一對戀	人	81
一對新	人	15
一對男	女	101
一對矛	盾	86
一對翅	膀	29
一小	時	4448	部分	3139	段	997	塊	977	撮	706	片	569	堆	468	步	281	半	240	時後	203
一小時	後	203	前	27
一小部	分	3139
一小陣	兒	174
一尺	布尚可縫	184
一尺布	尚可縫	184
一尺布尚	可縫	184
一尺布尚可	縫	184
一局	上半	192	下半	160	棋	54
一局上	半	192
一局下	半	160
一屁	股	623	股債	474
一屁股	債	474
一居	室	97
一屆	一屆	55	不如一屆	36
一屆一	屆	55
一屆不	如一屆	36
一屆不如	一屆	36
一屆不如一	屆	36
一屋	子	243	不掃	28
一屋不	掃	28
一展	身手	514	長才	352
一展身	手	514
一展長	才	352
一層	層	680	樓	639	冰	16
一山	一水	10
一山一	水	10
一山還	比一山高	389
一山還比	一山高	389
一山還比一	山高	389
一山還比一山	高	389
一川	煙草	28
一川煙	草	28
一左	一右	566
一左一	右	566
一己	之私	495	之見	481
一己之	私	495	見	481
一巴	掌	1402
一帆	風順	983
一帆風	順	983
一席	之地	1052	話	722
一席之	地	1052
一帶	而過	177
一帶而	過	177
一幀	一幀	190
一幀一	幀	190
一幅	畫	777	幅	744	油畫	36
一幅油	畫	36
一幕	幕	885	一幕	43
一幕一	幕	43
一幢	幢	17
一幫	人	908	子	229
一干	人	566	弟子	326	弟兄	256	部下	225	家中	90
一干家	中	90
一干弟	子	326	兄	256
一干部	下	225
一平	米	251	一負	23
一平一	負	23
一年	後	2865	多	2821	半	2048	前	1692	的	1552	內	1547	級	1398	時間	1120	了	1046	一度	1002
一年一	度	1002	次	294	部	38	張	30	萬	25	變	22	考	16	交	15	保	14	買	11
一年之	計	493	計在於春	475
一年之計	在於春	475
一年之計在	於春	475
一年之計在於	春	475
一年以	上	524	後	389
一年兩	次	170
一年到	頭	569
一年半	載	554	裏	26
一年又	一年	238
一年又一	年	238
一年四	季	984
一年多	來	123
一年好	景君須記	14
一年好景	君須記	14
一年好景君	須記	14
一年好景君須	記	14
一年學	費	127
一年就	一次	16
一年就一	次	16
一年時	間	1120
一年比	一年	318	一年高	49
一年比一	年	318	年高	49
一年比一年	高	49
一年級	的	222	生	24
一年過	去	73
一座	座	747	山	559	城	245	橋	178	島	49	廟	34
一廂	情願	941
一廂情	願	941
一廚	一衛	25
一廚一	衛	25
一廳	一衛	13
一廳一	衛	13
一式	兩份	547	三份	46
一式三	份	46
一式兩	份	547
一弦一	柱思華年	15
一弦一柱	思華年	15
一弦一柱思	華年	15
一弦一柱思華	年	15
一張	圖	3256	照片	1807	紙	962	張	942	牀	807	牌	794	嘴	771	白紙	632	一弛	461	一張	262
一張一	弛	461	張	262
一張光	盤	26
一張照	片	1807
一張白	紙	632
一張紙	上	176	條	160
一張電	影票	148
一張電影	票	148
一彆	頭	180
一彈	指	441	指頃	311
一彈指	頃	311
一往	情深	582	無前	579	直前	431	而深	61
一往情	深	582
一往無	前	579
一往直	前	431
一往而	深	61
一律	平等	55	不得	54
一律不	得	54
一律平	等	55
一得	到	444	之見	330
一得之	見	330
一德	一心	254	路	10
一德一	心	254
一心	一意	916	二用	488	向上	355	一德	333	挂兩頭	188	多用	33	爲民	24	同體	23	向佛	22	爲公	19
一心一	意	916	德	333
一心不	能二用	17
一心不能	二用	17
一心不能二	用	17
一心二	用	488
一心兩	用	13
一心同	體	23
一心向	上	355	佛	22	善	18
一心多	用	33
